labels,sentences
1,This show was so exhausting to watch and theres only two numbers Drowned World Substitute For Love and Paradise Not For Me were you can sit down and just contemplate it all The opening of this show will go down in history as the most visually thrilling as Madonna enters the stage via a gigantic Swarovski crystal ball that comes down from the ceiling and the huge screens from behind it show images of horses galloping Horses play a role in this show due to Madonna falling off one The infamous scene of Madonna on the crucifix is in this show as a huge screen counts to 12 million the number of how many African children are orphaned due to Aids At the end a website address comes up for anyone interested in donating We then go into the theme of the environment and again images of politics and religion are shown Theres an interlude and then the show starts again to the music of I Love New York and Ray of Light this part of the show is one of my favorites with the dancers doing there funny hand movements Towards the end theres the Music number with the song Disco Inferno mixed in with the song and the dancers make more of there presence known The ending again is full of energy as the show wraps up to the tunes of Lucky Star and Hung Up and hundreds of golden balloons fall from the ceiling at the end the message Have you confessed comes up The DVD is worth buying and when it came out the soundtrack for the show was added as a bonus Jonas Akerlund did a great job with the footage for this show keeping it consistent with the style of the tour
1,This is one of the best TV productions of a musical ever I have heard the Merman cast album the Angela Lansbury album I have seen Tyne Daly live and Ive seen the Rosalind Russell movie countless times I think Bette is if not the best then tied with the best She captures not just the bravura but also the pathos of Mama Rose I was never a Natalie Wood fan so I really enjoyed Cynthia Gibb in what is arguably her best role Everything from the costumes to the sets to the supporting performances is wonderful The three strippers led by the alwaysdependable Christine Ebersole are hard to top There was supposed to be a TV production of Mame a few years back with Cher but I think Bette would be the best bet pun intended for Auntie Mame
1,This is a great flick It is funny for everyone even adults We got Jason VoorheesLeatherface like killer in this along with other wacky characters Very funny flick for children of all ages Must of rented this every time we went to the video store Buster and Babs make a good pair and gotta love the duck He is probably my favorite character I was never big on the TV show but this movie just brings back so many great memories Must see for families fans of the show or anyone Enjoyable no matter how small or old you are RENT IT NOW AT YOUR LOCAL VIDEO STORE PS NEEDS A DVD RELEASE
1,Having just come home from my third viewing of The Curse Of The WereRabbit I decided to jump on IMDb and see what others thought I noticed a lot of Brits loved it while those in America just didnt get it That really doesnt come as any shock as America doesnt get what English is Wallace and Gromit are very English Middle class English in fact with a hint of eccentricity throw in for good measure The film is a lot like our two heroes simple and unassuming It has a nice and gentle plot so the children dont get lost yet theres enough beef there to keep the adults amused too Theres some light innuendo which seems have to have offended the evangelic  oh noes drama but there is nothing more rude than a bottom for a brief moment When people get offended by a plasticine anus you know the worlds messed up One quick note to those all American so far that I have seen who think Chicken Run is a better film Chicken Run was made to pander to your sense of humour and I think it suffered because of it Curse of the Were Rabbit is witty English and intelligent Thomas The Tank Engines film was ruined because it was made to please the Americans and Im glad Nick Park did not let that happen to another Great British institution To sum up You can keep your Chicken Runs your Shreks your Madagasgas  that kind of crude crass slapstick comedy just doesnt compare to the wit and grace that is Wallace and Gromit in Curse of the WereRabbit English to the core and long may Wallace and Gromit stay that way
1,I Would have to disagree strongly with the previous lame comment I watched this not expecting too much from it The Fact is that the cast were superb Especially The lead Teen Female The dark sides of them all came through all were messed up in an not obvious way There was an underlying current which ran through the movie of teenage angst and sexuality The serial killer role was played well also as you could feel he had gone through what they had as children What this movie is is a strong dramathriller Yes I would agree they dont do the obvious but you could relate with the messed up teenage heads they did what they did and it is believable Also a decent dark ending instead of which could have so easily been an opt out happy one The attention to detail in the movie was fantastic also I very good solid 7 out of 10 A little slow at times but lets a thinking person see where the characters are coming from
1,This is an unfortunately unrecognized classic The look is superb the design costumes etc are flawless the post battle scenes and the cavalry charge are both chilling and exciting The characters are vivid and really human Ardent is right and Fabrice Luchini as the lawyer Derville steals the movie with his clever pedantic rodentlike performance delighting in the ups and downs of others misfortunes Depardieu is good but perhaps too large a presence for this role Where the film really excels is the story and also its changes from Balzacs novella Those changes are editorial in that Balzac has lots of discussion on society and this film breaths with characters Nevertheless Yves Angelo has retained the key ingredient not just the missing man trying to regain his place in society but every character has to find their place in society the Comte Ferraud is trying to buy a peerage his wife Ardent comes from a lowly birth and when she was married to Colonel Chabert they achieved their position in the turbulence of postrevolutionary France Everyone has something to lose in terms of status and that makes for a good drama as their objectives are in conflict with each other It also feels very modern money is critical to buy status to reach power but someone can go down as quickly as they go up Derville enjoys the strategy he has seen the worst of people he says to Chabert when he takes the case This speechs original place is at the end of the novella as Balzac sums up the human comedy with huge irony
1,This movie is a very enjoyable homage to the Bogart and other detective films of old Robert Sacchi nails it as Bogie and Michelle Phillips is a truly timeless beauty as Gena Anastas  However the most noteworthy portion of this film involves the longest belly dancing scene ever produced in a Hollywood film One wellknown professional instructor commented that nothing else in cinema comes close for dance excitement  The scene which ends up being an important part of the plot occurs in a lushly beautiful Middle Eastern nightclub and is by all accounts mesmerizing The pulsating music the swirling veils and ringing finger cymbals freeflowing undulations and beautiful costumes  and a surprise twist involving the seductive Sybil Danning  build tension and excitement until the very end  The three talented and beautiful professional nightclub dancers are led by exotic brunette beauty Kamala Almanzar one of the US leading belly dancers since the mid1970s She was handpicked by famed Armenian musician Guy Chookoorian to travel with his orchestra on the road Guys ensemble is the live band that the dancers perform to in the scene If you watch the trailer on this site you will see a glimpse of Kamala playing the finger cymbals behind Sybil Danning  If youre not yet a fan of belly dancing you will be after watching this movie and if youre an aficionado it holds up very well after repeated viewing
1,A wonderful cast thrown into modern mystical romances for the intellectual grown ups Yes they too need a love story to stir those hidden urges without the Hollywood fluff This all under the masterful direction of Antonioni and Wenders who both love to pin his characters in exotic locations and have them dwarfed by the surroundings with long wide shots It is great to see that there is lust in the midlife crises sector
1,Until I saw this film life is beautiful was my favourite film of all time This film is everything a great film should be Great script unsurpassed acting and direction that neither approaches the sentimentalism the subject tempts nor leaves it without the emotional impact it demands This film contains the taste that could not come from Hollywood and lacks the pretencion that would come from France A wonderful movie even above the calibre I have come to expect when I see the handmade films logo come up I need not go into detail as the previous posts encompass everything why this movie has to be seen by everyone on this planet
1,SPOILER ALERT Dont read on unless youre prepared for some spoilers I think this film had a lot beneath its shell Besides the apparent connections with Oldboy and Parkwooks other films an incestuous relation in this one really disturbed me and also the subtle erotic theme that hung around all the vampiric physical action The main actor Kangho Song is terrific in the rôle of the priest Sanghyeon  coincidentally sang means blood in some languages  who truly loved Taeju played by OKbin Kim Their relationship reminds me a lot of that between Martin Sheen and Sissy Spacek in Badlands where the girl appears psychopathic and the man is basically wrapped around her finger Their relationship is one thing but the girls mother is entirely different While moving she is stiff onedimensional and taut but paralysed she says all through not moving or through the wink of an eye Parkwook has really really mastered his cinematography in this film and owes a lot to Stanley Kubrick there are a whole lot of beautiful shots strewn throughout the film some for simple effects and some that require several glances and probably repeated views to fully catch The music is quite stock using mostly strings to accompany the main thespians monoreaction its a very good thing that the character is as withdrawn as he is While he does very little and loses at that he seems to instead be a person who thinks a lot While his loveinterest says and does a lot her actions display very little thought behind it In my humble opinion All in all a very disturbing film that is not made for action which isnt even in the same dimension as most things that are about vampires these days its magnificent and repellant at the same time
1,This late 50s French study of disaffected youth in their early 20s actuallygrown up but not yet settled down into the adult world probably missed the mark by a mile in terms of being an accurate depiction of 1958 French youth dont virtually ALL youth films made by adults do this The ones that dontRivers Edge comes to mind are rare indeed but directorwriter Marcel Carne of Les Enfants du Paradis fame is too accurate an observer of humanity to NOT provide an insightful view of the essence of these characters In a sense the details are not importantyou could change the details and set this film today and it would work just as wellbut the loneliness and insecurity and superficial passion and selfrighteous anger of the characters is captured well The young Pierre Brice and JeanPaul Belmondo are in supporting roles but leads Jacques Charrier Laurent Terzieff Pascale Petit and Andrea Parisy play the roles with subtlety and depth There is also a fine jazz score which you can get on the CD JAZZ IN PARISJAZZ  CINEMA VOL 2 Unlike some who have commented on the film I dont really see directorwriter Carne as sitting in judgment on these charactershe seems as though he is an objective observer to me Of course these middleclass characters may seem like people who are spoiled and have nothing to whine about to some workingclass viewers of the film and I think Carne is certainly aware of this For this American viewer I watched a dubbed fairly literally Id say version of this titled THE CHEATERS the film provides an interesting window into the France of the 1950s It also is selfconsciously poetic the scene on the ledge saving the cat is but one example of this and has intellectual aspirations in that charming way that only French films can get away withI can imagine the heavyhanded melodramatic shallow way this kind of material would have been handled by an American studio production and the sensationalistic moralistic suggestive way this kind of material would have been handled by American driveinexploitation filmmakers I feel that Marcel Carne has captured the essence of that period between say high school graduation and when by ones early 30s people have largely settled into a routine whatever that routine may be Those willing to watch the film with an open mind and not fire away at the many easy targets it offers should find a serious and valuable study of people in their early twenties And even if you dont want to do that you can go in the other room while the film is playing and simply enjoy the fine soundtrack with great 50s jazz and instrumental pop including the wonderful original score by an American Jazz at the Philharmonic group including Coleman Hawkins Dizzy Gillespie Stan Getz spelled goetz in the credits Roy Eldridge and Ray Brown
1,So its not an award winner so what Have you ever wanted to see a film that was just silly The Villain and this one could top the listMy husband says that Jekyll and Hyde Together Again is one of those movies that if youve been there and done that youll think this spoof on the 80s cocaine culture is a riot I think the whole film is just fun Nothing is sacred hospitals plastic surgery Howard Hughes There are ongoing gags that you have to watch for to appreciate To say that the film doesnt follow the book would be true but then a lot of really good films take liberties with the published word also I recommend this movie to all the old stoners among us We may be smarter now but we will still recognize and laugh at many folks we knew ourselves back in the old days
1,Russell T Davies has been tasked with recreating a slice of my childhood hiding behind the sofa watching scary monsters battle with Dr Who He and his crew are clearly all true devotees of the original series In much the same way as the Star Trek movies used their budget to make the Gene Rodenberrys original concept far more believable Russell T Davies has both money and the advantages of excellent CGI to create the best monsters ever I am sure that this series was made with a budget that anticipated both export and DVD sales and it really feels as if no expense was spared The accompanying series Dr Who Confidential shows the work that goes into each episode which is a really useful behind the scenes insight Interviews with the cast and writers help retell the story from each characters perspective and are far more useful than simply watching the whole programme over again How does David Tenant rank in the pantheon of his illustrious predecessors Time will tell but tonight seeing Billie Piper play alongside Elisabeth Sladen who was the Doctors companion in the 1970s confirm that she has both the acting ability screen presence and script to be the No 1
1,The Knowledge is a typical British comedy for the period To someone who is not familiar of the process of becoming a London cabby the film is bound to seem very average with a few laughs from a few old faces The Knowledge however comes into its own for Knowledge boys like myself or their wifes who know what these poor individuals are going through And find yourself comparing incidents of your own to that of the characters
1,Some Spoilers It took some 19 years for Bruce Campbell to finally put his masterpiece  Man with the Screaming Brain on the screen But Campbell had to alter his story by having it due to financial problems take place in Sofia Bulgaria not where he initially wanted it to be filmed in Los Angeles California In the film Burce Campbell plays US pharmaceutical tycoon Willian Cole who travels together with his spoiled rotten wife Jackie Antoinette Byronto the former Communist Republic of Bulgaria Its there that William wants to help finance Bulgarias almost nonexistent mass transportation system Its poor Williams misfortune to get involved with both Gypsy woman Tatoya Tamara Gorski and her exboyfriend Yegor Valdimir Kolev an exKGB taxi driver The two William  Yegor will unwittingly end up shearing their brains inside Williams skullbecause of Tatoyas jealousy and vindictiveness After Tatoya murders both William and Yegor their bodies are delivered to mad scientist Dr Ivan Ivanowitch Ivanov Stacy Keach by his loyal assistant Pavel Ted Raimi to have their brains experimented with Dr Ivanov has this theory in that two heads are better then one And now with the material William  Yegor available to him Dr Ivanov at last is finally going to prove it What Dr Ivanov is going to sadly find out is that by fusing the two heads or brains together their brain waves will overlap and cause them to not only malfunction but turn against each other William with Yegors right lobe fused into his damaged brain is out to find Tatoya and make her pay for the damage she caused both him and Yegor Yegor for his part is stuck in Williams head whos likes and dislikes in both food and drink are totally opposite to his own This causes a lot of tension and hostility between the two brains in them fighting for control of Williams body Things get even more screwed up when Jackie finding out that Tatoya murdered her husband William confront her in the dangerous and high crime section of Bravoda call Gypsy Town and ends up being murdered herself Brought back to Dr Ivanov by his assistant Pavel its determined with no body availableto plant Jackies brain inside of an experimental robot that Pavels been working on The operation is a rousing success but the only drawback is that Jackie with her brain inside the robot has to have her brain recharged every few hours Or like a real brain lacking oxygen shell die together with the robots batteries Combination 1930slike screwball comedy and horror flick with both William  Yegor turning the Bulgarian town of Bravoda upside down in trying to find Tatoya and make her pay with her life for the sad state of existence she put them both into  SPOILER ALERT Its Dr Ivanov who in fact saves the day by discovering how to keep the two brains from fighting and thus cooperating with each other This is done by him instead of fusing the brains together Dr Ivanov keep them independent by implanting a neutralizing cell wall in between the two uncooperative globs of gray matter
1,I think this film version of NORTHANGER ABBEY is actually quite good It certainly is amusing Well its not a masterpiece as PRIDE AND PREJUDICE 95 but theres very good stuff in it especially the City of Bath setting The Royal Crescent the Roman Baths the fascinating Georgian atmosphere That is excellent If you are a Bath fan like myself youll love watching this film The performances may sound a bit too melodramatic but Ive got the impression that this film like the novel itself is deliberately making fun of the popular tales of romance and terror and of the society of the period The only drawback is probably the female lead as I personally have another idea of Catherine Morlands physical appearance The music is also a bit unusual but I strangely find it acceptable despite its got nothing to do with the historical period portrayed Im wondering what would dear old Jane think
1,Lead actor Yuko Tanaka fulfills so much in the exceptionally meditative The Milkwoman a tranquil canvass on missed chances in the life of a 50something woman charting her routine with sincerely poignant motives Played out in the picturesque tranquil town of Nagasaki Akira Ogatas unconventional romantic film so to speak is less a straightout melodrama than a deliberate introspection of its characters surrender to their current lives as a result of a tragic past that forced them to a choice they did not call for Perfectly embodying the requisite worldweariness subjected to a spiritless routine Tanaka plays Minako Oba a middleaged woman who before her work shift at a supermarket takes it upon herself to deliver bottles of milk among the residents of the hilly Nagasaki One of the houses she constantly passes by to make such a delivery is that of Kaita Takanashi Ittoku Kishibe a local government employee caring for her terminally ill wife Akiko Nishina Minako and Kaita were high school sweethearts who courtesy of an ignominious event concerning their parents separated ways since then Opening his film with the foreboding narration of a young Minako vowing never to leave Nagasaki Ogata does as such with the narrative patiently sticking with Minako as he deftly aided by Tanakos understated yet highly effective performance follows her  whether shes having chitchat with her aunt Misako Watanabe on being single or when she jogs up and down the countless footsteps of their hilly town to distribute milk  as she and Kaita gradually overcome the hindrances that kept them apart for years Such unhurried development may not suit viewers weaned on fastpaced narratives but for the rest its a heartfelt introspection that affects powerfully and emphatically
1,I have nothing but praise for this movie and cast especially Ann Margaret But more importantly I have praise for my inlaws who were are the adoptive parents of Warren and Frank in real life I met most of the children at Warrens wedding in 1989 This is an amazing story and is even more incredible to me knowing the family and what everyone went through It is also enjoyable for me to see how my inlaws were portrayed in the movie It was pretty accurate My wife even enjoys seeing some little details such as a toaster that she remembered from her childhood Yes it is a hard movie to watch but so amazing and heartfelt The beauty of this story for me is how many of the children passed through my inlaws lives and as a result of marrying their daughterand having Warren as a brotherinlaw how many I have met in mine For the past 20 years this story has been a part of my life because of what my motherinlaw has shared with me That and knowing Warren For what it is worth Warren lives in California with his family He married his high school sweetheart who he reconnected with at his 20 year high school reunion There was a show in the 1980s called Thats Incredible They had a reunion of the family who also got to meet the cast of the show For anyones interest the DVD is available in Great Britain and Australia It is a tough video to come by here in the United States and I have not been able to find a DVD here yet
1,Being a freshman in college this movie reminded me of my relationship with my mom Of course my situation doesnt parrallel with Natalie Portman and Surandons situation but my mom and I have grown up with the typical mother and daughter fights There is always the mother telling you what to do or not being the kind of mother you want to be I was balling my eyes at the end of this movie Surandons reaction of her daughter going to the East coast miles away after all theyve been through reminded me of how I felt being from a small city in the West coast going to New York  The movie is meant for women who have children that are now all grown up It is very touching I was moved by the movie Every feeling out of the characters in this movie was utterly real you didnt get any phony sentimentality I was sitting through the credits at the screening of this movie alone wishing my mother was sitting next to me so I could hug her and thank her for everything This movie is a bit corny of course but everything is trully momentous Its all about what a mom can learn from her child and what a child learns from her mother 810
1,Guilt and redemption are two of the staple emotions and plot elements of the heavy powerful dramas that the Oscars love so much which is kind of funny since The Kite Runner was only nominated for Best Original Scorethe lack of nominations was perhaps unjust While most film adaptations of books or any other means are usually inferior to their literary counterparts and The Kite Runner is NOT an exception Marc Forsters film adaptation is a good one Most people are familiar with the story the book having been read by millions so I wont go into the plot except to say that the book stays pretty faithful to its source That being said if you dont know the plot see the movie or better yet read the book The best thing The Kite Runner has going for it other than its story is director Marc Forster Forster is a director with epic scope and unique vision that is perfectly utilized in bringing Khaled Hosseinis book to the screen A small part of me worried that he would use the same dreamy images that were included in one of Forsters earlier features Finding Neverland Dont get me wrong Finding Neverland is a wonderful film one of my favorites actually but the visual trickery he used in there doesnt have a place here Fortunately Forster understands that and the brilliance of his direction shows his versatility Though the lack of a Best Director nomination for his work here is not exactly a travesty I see a number of statuettes in store for him down the road Also of note is the screenplay adaptation It remains faithful to the source but it leaves room for Forsters vision to interpret the material The dialogue is not dumbed down and it along with Forsters direction moves at a solid pace Like Forster the lack of recognition at awards time for the screenplay was not an outrage but I wouldnt have complained if it was at least nominated The dividing line here between this film being great and outstanding lies with the acting Most of the performances are solid but there are some that dont quite make the cut and it hurts the film The most notable weak performance comes from Zekeria Ebrahimi who plays the young Amir Its not that its bad its just that its not as effective as it could be He just cant translate the guilt that consumes Amir to the audience In fact I think I might have been a little lost at this point in the movie at this point had I not read the book because of this He looks somber and at times resentful but we cant feel his emotions This is a difficult part to portray and for the most part young Ebrahimi holds his own which is especially surprising since this is his first film role The best performances come from Khalid Abdalla who plays the adult Amir and Shaun Toub who plays the wise Rahim Kahn Abdalla may not be a known name though he was in Paul Greengrasss United 93 but his work here is amazing Hes a quiet modest man and he emotes perfectly when needed to A lessercapable actor could have made the character of Rahim Khan into a cliché but Shaun Toub uses enough subtlety and care in his performance that he creates what the clichés are trying to portray Forgive me if I go on a rant here but this is something that I must address and that is the films PG13 rating The fact that this film received such a low rating is outrageous There is no justification for it Some could argue that the rating was bent because of the need for everyone to see it like the gore in Saving Private Ryan which some say should have earned the film an NC17 rating But that exception cannot be applied here The only purpose the scene serves is to tell the story Forster probably at the behest of the producers tried as hard as he could to tame the films most painful and disturbing scene to allow the film to sneak by with a PG13 rating but the subject material is too disturbing to be depicted in any way and get less than an R rating regardless of if how tasteful is may be portrayed Worse this editing robs the scene of much of its power and by trying it make it less disturbing to get the lower rating is insulting Furthermore some scenes of violence are incredibly disturbing as well In terms of how much time these scenes take of the movie it doesnt add to much but what is there is well deserving of an R rating at the very least The MPAA whose system of rating movies has always been corrupt has sunk to a new low by giving this film such a low rating But one shouldnt fault the film for this The film is a solid film that is wellworth seeing especially if they are fans of the book
